2023-09-25 08:46:25,146 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 79,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.900,000,000 s)
2023-09-25 08:46:25,151 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 80,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.000,000,000 s)
2023-09-25 08:46:25,152 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 81,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.100,000,000 s)
2023-09-25 08:46:25,152 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 82,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.200,000,000 s)
2023-09-25 08:46:25,152 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 83,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.300,000,000 s)
2023-09-25 08:46:25,152 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 84,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.400,000,000 s)
2023-09-25 08:46:25,152 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 85,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.500,000,000 s)
2023-09-25 08:46:25,153 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 86,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.600,000,000 s)
2023-09-25 08:46:25,153 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 87,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.700,000,000 s)
2023-09-25 08:46:25,153 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 88,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.800,000,000 s)
